#1
double PVProduction( 35041, 2 ) # Time [s]; PVout [kW]
1513800;12.66
1514700;14.985
1515600;15.09
1516500;17.078
1517400;10.448
1518300;4.868
1519200;3.308
1520100;3.795
1521000;8.078
1521900;9.36
1522800;7.748
1523700;4.17
1524600;3.09
1525500;2.513
1526400;1.253
1527300;0.6
1528200;0.233
1529100;0.03
1530000;0
1530900;0
1531800;0
1532700;0
1533600;0
1534500;0
1535400;0
1536300;0
1537200;0
1538100;0
1539000;0
1539900;0
1540800;0
1541700;0
1542600;0
1543500;0
1544400;0
1545300;0
1546200;0
1547100;0
1548000;0
1548900;0
1549800;0
1550700;0
1551600;0
1552500;0
1553400;0
1554300;0
1555200;0
1556100;0
1557000;0
1557900;0
1558800;0
1559700;0
1560600;0
1561500;0
1562400;0
1563300;0
1564200;0
1565100;0
1566000;0
1566900;0
1567800;0
1568700;0
1569600;0
1570500;0
1571400;0
1572300;0
1573200;0
1574100;0
1575000;0
1575900;0
1576800;0
1577700;0
1578600;0
1579500;0
1580400;0
1581300;0
1582200;0
1583100;0.195
1584000;0.638
1584900;1.11
1585800;1.658
1586700;2.385
1587600;2.925
1588500;4.748
1589400;8.205
1590300;7.59
1591200;8.588
1592100;10.875
1593000;11.993
1593900;8.745
1594800;9.84
1595700;13.118
1596600;12.42
1597500;12.75
1598400;14.558
1599300;11.52
1600200;11.04
1601100;12.848
1602000;15.173
1602900;12.653
1603800;12.398
1604700;13.808
1605600;13.56
1606500;10.403
1607400;8.858
1608300;5.76
1609200;4.688
1610100;3.9
1611000;3.225
1611900;2.46
1612800;1.215
1613700;0.735
1614600;0.503
1615500;0.09
1616400;0
1617300;0
1618200;0
1619100;0
1620000;0
1620900;0
1621800;0
1622700;0
1623600;0
1624500;0
1625400;0
1626300;0
1627200;0
1628100;0
1629000;0
1629900;0
1630800;0
1631700;0
1632600;0
1633500;0
1634400;0
1635300;0
1636200;0
1637100;0
1638000;0
1638900;0
1639800;0
1640700;0
1641600;0
1642500;0
1643400;0
1644300;0
1645200;0
1646100;0
1647000;0
1647900;0
1648800;0
1649700;0
1650600;0
1651500;0
1652400;0
1653300;0
1654200;0
1655100;0
1656000;0
1656900;0
1657800;0
1658700;0
1659600;0
1660500;0
1661400;0
1662300;0
1663200;0
1664100;0
1665000;0
1665900;0
1666800;0
1667700;0
1668600;0
1669500;0
1670400;0.105
1671300;0.488
1672200;0.983
1673100;2.378
1674000;3.315
1674900;4.29
1675800;4.283
1676700;5.303
1677600;5.498
1678500;5.993
1679400;6.398
1680300;6.57
1681200;6.878
1682100;8.655
1683000;10.815
1683900;11.843
1684800;14.498
1685700;12.428
1686600;11.798
1687500;11.783
1688400;6.63
1689300;8.175
1690200;11.685
1691100;15.675
1692000;12.675
1692900;12.578
1693800;6.945
1694700;9.165
1695600;7.185
1696500;5.333
1697400;3.653
1698300;2.333
1699200;1.178
1700100;0.503
1701000;0.285
1701900;0.06
1702800;0
1703700;0
1704600;0
1705500;0
1706400;0
1707300;0
1708200;0
1709100;0
1710000;0
1710900;0
1711800;0
1712700;0
1713600;0
1714500;0
1715400;0
1716300;0
1717200;0
1718100;0
1719000;0
1719900;0
1720800;0
1721700;0
1722600;0
1723500;0
1724400;0
1725300;0
1726200;0
1727100;0
1728000;0
1728900;0
1729800;0
1730700;0
1731600;0
1732500;0
1733400;0
1734300;0
1735200;0
1736100;0
1737000;0
1737900;0
1738800;0
1739700;0
1740600;0
1741500;0
1742400;0
1743300;0
1744200;0
1745100;0
1746000;0
1746900;0
1747800;0
1748700;0
1749600;0
1750500;0
1751400;0
1752300;0
1753200;0
1754100;0
1755000;0
1755900;0
1756800;0.12
1757700;0.353
1758600;0.66
1759500;1.245
1760400;1.695
1761300;2.415
1762200;3.105
1763100;3.69
1764000;4.493
1764900;5.063
1765800;5.918
1766700;7.845
1767600;14.115
1768500;7.853
1769400;6.863
1770300;10.688
1771200;18.015
1772100;15.615
1773000;12.09
1773900;6.863
1774800;7.883
1775700;15.315
1776600;11.273
1777500;10.29
1778400;6.795
1779300;6.6
1780200;7.26
1781100;10.125
1782000;7.53
1782900;5.175
1783800;4.088
1784700;3.038
1785600;1.92
1786500;0.878
1787400;0.323
1788300;0.135
1789200;0
1790100;0
1791000;0
1791900;0
1792800;0
1793700;0
1794600;0
1795500;0
1796400;0
1797300;0
1798200;0
1799100;0
1800000;0
1800900;0
1801800;0
1802700;0
1803600;0
1804500;0
1805400;0
1806300;0
1807200;0
1808100;0
1809000;0
1809900;0
1810800;0
1811700;0
1812600;0
1813500;0
1814400;0
1815300;0
1816200;0
1817100;0
1818000;0
1818900;0
1819800;0
1820700;0
1821600;0
1822500;0
1823400;0
1824300;0
1825200;0
1826100;0
1827000;0
1827900;0
1828800;0
1829700;0
1830600;0
1831500;0
1832400;0
1833300;0
1834200;0
1835100;0
1836000;0
1836900;0
1837800;0
1838700;0
1839600;0
1840500;0
1841400;0
1842300;0.12
1843200;0.893
1844100;1.815
1845000;3.165
1845900;4.005
1846800;3.93
1847700;4.988
1848600;6.285
1849500;6.533
1850400;8.805
1851300;10.35
1852200;11.273
1853100;11.955
1854000;13.185
1854900;14.168
1855800;12.623
1856700;6.03
1857600;7.815
1858500;12.878
1859400;16.035
1860300;15.788
1861200;16.703
1862100;16.088
1863000;15.33
1863900;15.27
1864800;14.543
1865700;12.998
1866600;10.343
1867500;7.635
1868400;5.273
1869300;4.275
1870200;3.36
1871100;2.033
1872000;1.298
1872900;0.608
1873800;0.45
1874700;0.113
1875600;0
1876500;0
1877400;0
1878300;0
1879200;0
1880100;0
1881000;0
1881900;0
1882800;0
1883700;0
1884600;0
1885500;0
1886400;0
1887300;0
1888200;0
1889100;0
1890000;0
1890900;0
1891800;0
1892700;0
1893600;0
1894500;0
1895400;0
1896300;0
1897200;0
1898100;0
1899000;0
1899900;0
1900800;0
1901700;0
1902600;0
1903500;0
1904400;0
1905300;0
1906200;0
1907100;0
1908000;0
1908900;0
1909800;0
1910700;0
1911600;0
1912500;0
1913400;0
1914300;0
1915200;0
1916100;0
1917000;0
1917900;0
1918800;0
1919700;0
1920600;0
1921500;0
1922400;0
1923300;0
1924200;0
1925100;0
1926000;0
1926900;0
1927800;0
1928700;0
1929600;0
1930500;0.045
1931400;0.255
1932300;0.36
1933200;0.6
1934100;0.945
1935000;0.915
1935900;1.095
1936800;1.283
1937700;1.59
1938600;1.8
1939500;2.048
1940400;2.175
1941300;2.273
1942200;2.52
1943100;3.398
1944000;3
1944900;3.458
1945800;3.015
1946700;3.113
1947600;3.263
1948500;3.338
1949400;3.173
1950300;2.265
1951200;2.265
1952100;2.34
1953000;1.845
1953900;1.343
1954800;1.028
1955700;0.795
1956600;0.63
1957500;0.45
1958400;0.278
1959300;0.135
1960200;0
1961100;0
1962000;0
1962900;0
1963800;0
1964700;0
1965600;0
1966500;0
1967400;0
1968300;0
1969200;0
1970100;0
1971000;0
1971900;0
1972800;0
1973700;0
1974600;0
1975500;0
1976400;0
1977300;0
1978200;0
1979100;0
1980000;0
1980900;0
1981800;0
1982700;0
1983600;0
1984500;0
1985400;0
1986300;0
1987200;0
1988100;0
1989000;0
1989900;0
1990800;0
1991700;0
1992600;0
1993500;0
1994400;0
1995300;0
1996200;0
1997100;0
1998000;0
1998900;0
1999800;0
2000700;0
2001600;0
2002500;0
2003400;0
2004300;0
2005200;0
2006100;0
2007000;0
2007900;0
2008800;0
2009700;0
2010600;0
2011500;0
2012400;0
2013300;0
2014200;0
2015100;0
2016000;0
2016900;0
2017800;0
